#,Monnaie,Cours,1 h,24 h,7 j,30 j,Volume sur 24 h,Offre en circulation,Offre totale,Capitalisation du marché
72,"WhiteBIT Token
WBT","$4,63",-0.0%,-0.7%,-1.2%,-1.5%,$7 294 010,144 118 517,374 million,$667 717 883
73,"Bitcoin SV
BSV","$34,65",0.4%,1.5%,-2.8%,-0.3%,$17 979 449,19 266 077,21 million,$667 703 568
74,"Bitget Token
BGB","$0,469677",1.2%,-2.2%,0.1%,32.4%,$17 214 744,1 400 001 000,2 milliard,$657 516 966
75,"Pepe
PEPE","$0,000001539682",0.4%,-3.9%,-9.6%,422.7%,$143 243 957,420 690 000 000 000,421 billion,$648 318 812
76,"Kava
KAVA","$1,09",0.3%,5.9%,8.2%,41.2%,$40 032 762,530 690 797,531 million,$580 200 320
77,"Gemini Dollar
GUSD","$0,998431",-0.2%,0.1%,-0.2%,-0.1%,$597 829,575 906 270,576 million,$574 938 877
78,"BitTorrent
BTT","$0,000000598480",-0.2%,-0.1%,-0.4%,-9.1%,$12 871 797,951 421 714 286 000,990 billion,$568 730 475
79,"Maker
MKR","$629,65",0.0%,1.4%,-1.7%,-9.9%,$9 181 629,901 311,978 millier,$567 467 733
80,"Chiliz
CHZ","$0,105751",0.0%,0.4%,-2.8%,-14.1%,$35 021 638,5 344 064 580,"8,89 milliard",$565 023 833
81,"Sui
SUI","$1,07",0.4%,-1.0%,-12.4%,,$114 030 306,528 273 718,10 milliard,$563 330 448
82,"Klaytn
KLAY","$0,178974",0.2%,1.4%,3.1%,-20.3%,$15 424 324,3 095 122 149,∞,$555 162 524
83,"Optimism
OP","$1,63",0.7%,-0.3%,-1.4%,-28.9%,$65 578 928,335 376 391,"4,29 milliard",$547 993 402
84,"Injective
INJ","$6,71",0.0%,-1.2%,5.0%,-8.7%,$43 385 390,80 005 555,100 million,$537 046 850
85,"Casper Network
CSPR","$0,048137352143",-0.3%,-2.6%,-2.2%,-3.2%,$3 812 686,11 028 835 776,"11,7 milliard",$531 203 731
86,"GMX
GMX","$60,20",0.3%,-0.2%,-4.3%,-19.3%,$10 844 430,8 725 279,"8,73 million",$525 205 835
87,"PAX Gold
PAXG","$1 981,79",-0.1%,-0.4%,-2.0%,0.0%,$6 329 240,262 672,263 millier,$520 539 608
88,"Terra
LUNC","$0,000088059236",0.1%,-0.9%,-3.3%,-20.5%,$20 205 191,5 874 414 940 244,"6,85 billion",$517 296 490
89,"Mina Protocol
MINA","$0,567568",0.3%,-0.7%,-1.1%,-17.3%,$10 844 644,904 598 748,"1,03 milliard",$513 419 619
90,"IOTA
MIOTA","$0,183907",0.2%,4.6%,2.2%,-8.9%,$11 673 324,2 779 530 283,"2,78 milliard",$510 942 513
91,"Frax Share
FXS","$7,07",-0.1%,0.0%,-0.1%,-13.2%,$12 939 807,72 159 934,"99,8 million",$510 266 070
92,"Tokenize Xchange
TKX","$6,28",0.2%,0.6%,-2.0%,-0.6%,$8 351 629,79 996 000,100 million,$502 360 741
93,"eCash
XEC","$0,000025928005",0.2%,0.8%,-3.6%,-13.7%,$2 548 474,19 394 554 673 303,21 billion,$502 238 093
94,"Dash
DASH","$43,60",-0.1%,-0.1%,2.9%,-12.2%,$21 437 813,11 286 363,"18,9 million",$491 929 966
95,"Tether Gold
XAUT","$1 970,53",-0.3%,-0.3%,-2.4%,-0.8%,$5 959 230,246 524,247 millier,$485 784 732
96,"Huobi
HT","$2,95",0.1%,0.9%,1.8%,-18.5%,$14 834 650,162 336 522,204 million,$478 518 036
97,"cETH
CETH","$36,53",0.0%,0.6%,-0.9%,-3.3%,"$385,35",12 875 587,"12,9 million",$470 297 950
98,"Flare
FLR","$0,027735298987",-0.3%,-1.4%,-2.7%,-16.0%,$3 542 099,16 099 210 666,101 milliard,$446 393 052
99,"XDC Network
XDC","$0,032225209410",-0.1%,-3.6%,-2.6%,-22.9%,$1 391 219,13 837 557 455,"37,8 milliard",$445 246 946
100,"Trust Wallet
TWT","$1,07",0.0%,0.4%,-4.8%,-12.6%,$6 426 039,416 649 900,1 milliard,$445 230 916
101,"Frax Ether
FRXETH","$1 820,60",0.2%,0.8%,-0.6%,-3.3%,$1 264 195,215 985,216 millier,$393 136 594
102,"Zilliqa
ZIL","$0,023540873439",0.4%,0.4%,-3.2%,-32.8%,$16 070 987,16 507 343 529,"17,6 milliard",$388 460 689
103,"cUSDC
CUSDC","$0,022870970612",-0.0%,-0.0%,0.1%,0.3%,"$460,22",16 896 731 103,"16,9 milliard",$386 444 640
104,"NEXO
NEXO","$0,674797",-0.2%,0.6%,-0.1%,0.1%,$3 117 597,560 000 010,1 milliard,$377 871 989
105,"WOO Network
WOO","$0,222943",0.3%,0.2%,-4.7%,-18.7%,$11 620 763,1 694 310 805,"2,25 milliard",$377 441 001
106,"PancakeSwap
CAKE","$1,82",0.0%,-0.0%,-2.9%,-46.5%,$29 960 187,201 543 144,386 million,$366 494 591
107,"Loopring
LRC","$0,290763",0.1%,-1.0%,-1.1%,-16.8%,$15 777 820,1 245 991 469,"1,37 milliard",$362 134 735
108,"Convex Finance
CVX","$4,54",0.1%,1.5%,-3.7%,-16.1%,$1 959 605,77 350 740,"98,2 million",$351 531 477
109,"Osmosis
OSMO","$0,601288",0.2%,-0.6%,-5.8%,-21.7%,$8 856 822,584 638 995,325 million,$351 519 307
110,"Mask Network
MASK","$4,28",-0.1%,-5.3%,9.8%,-7.7%,$48 966 363,80 125 000,100 million,$342 830 418
111,"Nexus Mutual
NXM","$50,57",0.0%,0.6%,-0.8%,-2.9%,"$13 520,53",6 760 179,"6,76 million",$341 849 211
112,"Enjin Coin
ENJ","$0,340702",0.2%,0.2%,-0.7%,-14.0%,$11 556 732,1 000 000 000,1 milliard,$340 753 191
113,"Arweave
AR","$6,75",0.3%,2.0%,0.4%,-13.5%,$5 023 460,50 108 502,"64,6 million",$338 108 130
114,"THORChain
RUNE","$1,12",0.0%,-0.8%,-6.6%,-20.1%,$30 135 591,300 700 561,500 million,$336 131 667
115,"dYdX
DYDX","$2,09",0.0%,0.9%,-5.7%,-17.0%,$41 371 369,159 890 908,1 milliard,$334 395 794
116,"Basic Attention
BAT","$0,222832",0.1%,2.1%,0.9%,-11.9%,$12 914 168,1 489 138 514,"1,5 milliard",$331 782 167
117,"SingularityNET
AGIX","$0,268287",0.4%,-4.2%,2.6%,-23.6%,$38 372 256,1 215 068 775,"1,28 milliard",$325 987 852
118,"1inch
1INCH","$0,399587",0.2%,0.4%,-4.7%,-20.2%,$13 857 713,816 063 881,"1,5 milliard",$325 887 026
119,"BTSE Token
BTSE","$2,01",-0.0%,-1.8%,-0.1%,-6.2%,$869 207,162 061 501,200 million,$325 095 429
120,"marumaruNFT
MARU","$0,154579",-0.1%,10.4%,123.3%,673.7%,"$11 229,72",2 000 000 000,2 milliard,$309 146 234
121,"Baby Doge Coin
BABYDOGE","$0,000000001977",0.0%,-3.4%,-8.5%,-36.6%,$2 042 987,156 124 856 092 293 492,420 million de milliards,$308 071 877
122,"FLOKI
FLOKI","$0,000031134742",0.4%,-0.5%,-11.5%,2.8%,$16 095 567,9 783 950 207 844,10 billion,$304 454 875
123,"Gnosis
GNO","$114,89",0.5%,0.4%,0.8%,6.6%,$1 053 823,2 589 589,3 million,$297 651 494
124,"Holo
HOT","$0,001651474049",0.5%,0.5%,-3.6%,-12.5%,$6 996 169,177 619 433 541,178 milliard,$293 334 049
125,"OKT Chain
OKT","$16,40",-0.8%,0.7%,-1.6%,-15.4%,$200 562,17 847 480,"17,8 million",$293 265 760
126,"MX
MX","$2,93",0.3%,1.0%,2.4%,27.9%,$565 821,100 000 000,∞,$292 770 539
127,"NEM
XEM","$0,032385256309",-0.1%,0.2%,-3.6%,-14.0%,$6 872 121,8 999 999 999,9 milliard,$291 518 978
128,"cDAI
CDAI","$0,022246044467",-0.1%,0.0%,0.2%,0.2%,"$1 120,80",12 846 566 581,"12,8 milliard",$285 785 291
129,"Liquity USD
LUSD","$1,01",-0.2%,-0.3%,-0.2%,-1.2%,$1 196 132,280 235 145,280 million,$281 712 127
130,"Zcash
ZEC","$32,13",-0.0%,-1.8%,-3.4%,-13.9%,$19 593 132,8 701 376,21 million,$280 463 869
131,"SafeMoon [OLD]
SAFEMOON","$0,000000006414",0.0%,0.5%,-1.7%,-6.2%,"$0,000000019242",0,1 million de milliards,$277 800 683
132,"Qtum
QTUM","$2,64",0.2%,2.3%,0.2%,-10.6%,$15 976 800,104 666 872,108 million,$275 897 155
133,"Kaspa
KAS","$0,014921525392",0.9%,-8.3%,-32.7%,-39.2%,$7 216 710,17 982 152 269,18 milliard,$268 310 480
